"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"La Teja Azul,Sancho Medina 34, Villena, 03400, 西班牙"
"Huerto Martínez, Carretera Cheste-Chiva, Cheste, 46380, 西班牙"
"Furancho La Zapatería,Paseo Canarina 18, Icod de los Vinos, 38430, 西班牙"
"El Racó,Poca Farina 20, Sant Climent de Llobregat, 08849, 西班牙"
"A Taberna do Trasno,Príncipe 12, Cambados, 36630, 西班牙"
"Antoni Rubies,Lleida 6, Artesa de Lleida, 25150, 西班牙"
"Bar Verat,Avenida Pallaresa 104, Santa Coloma de Gramenet, 08921, 西班牙"
"El Jardín de la Sal, Carretera La Costa-El Faro 5, Las Caletas, 38740, 西班牙"
"La Gruta,Pintor Enric Serra 44, L'Escala, 17130, 西班牙"
"L'Algadir del Delta,Ronda dels Pins 27, Amposta, 43549, 西班牙"
"Trasiego,Avenida de La Merced 64, Barbastro, 22300, 西班牙"
"La Taberna de Almodóvar,Benito Pérez Galdós 1, Córdoba, 14001, 西班牙"
"San Sebastián 57,Avenida de San Sebastián 57, Santa Cruz de Tenerife, 38005, 西班牙"
"El Montañés,Escudial 1, Biescas, 22630, 西班牙"
"Almanaque Casa de Comidas,Plaza de España 5 duplicado, Cádiz, 11006, 西班牙"
"Nairod,Aribau 141, Barcelona, 08001, 西班牙"
"Es Terral,Sant Vicent 47, Santa Eulalia del Río, 07840, 西班牙"
"El de Alberto,Comandante Fontanes 1, A Coruña, 15003, 西班牙"
"Quinqué,Apolonio Morales 3, Madrid, 28036, 西班牙"
"Avenir,Carrer de l'Avenir 72, Barcelona, 08021, 西班牙"
"Finca Alfoliz, Carretera A-492 km 6, 5, Aljaraque, 21110, 西班牙"
"Asador Gonzaba,Nova de Abaixo 2, Santiago de Compostela, 15706, 西班牙"
"Quatre Vents 3.0,Avenida del Coronel Estrada 122, Hostalric, 17450, 西班牙"
"Gala,Espronceda 14, Madrid, 28003, 西班牙"
"La Cuchara de San Lorenzo,Arroyo de San Lorenzo 2, Córdoba, 14002, 西班牙"
"Artabria,Fernando Macías 28, A Coruña, 15004, 西班牙"
"Al Margen,Muelle Urazurrutia 2, Bilbao, 48003, 西班牙"
"El Cigró d'Or,Plaça de l'Oli 1, Vilafranca del Penedès, 08720, 西班牙"
"Eximio by Fernando Martín,Victoria 2, Alcalá de Henares, 28802, 西班牙"
"Bacira,Castillo 16, Madrid, 28010, 西班牙"
"Terreo Cocina Casual,San Andrés 109, A Coruña, 15003, 西班牙"
"Sobretablas,Colombia 7, Sevilla, 41013, 西班牙"
"Existe, Carretera A-1701, Puertomingalvo, 44411, 西班牙"
"Iwasaki,Iturribide 13, Getxo, 48993, 西班牙"
"Mas Concas,Camí de Cinc Claus, L'Escala, 17130, 西班牙"
"Saó,Cesare Cantù 2, Barcelona, 08023, 西班牙"
"Morrofino, Serafín Avendaño 4-6, Vigo, 36201, 西班牙"
"Santé,Avenida del Dos de Mayo 1, Leganés, 28912, 西班牙"
"Arrieros,Arrieros 2, Linares de la Sierra, 21207, 西班牙"
"El Aguarde,Costa y Grijalba 21, Santa Cruz de Tenerife, 38004, 西班牙"
"Komfort,Urbanización Marisol Park 1A, Calp, 03710, 西班牙"
"Ca´n Boqueta,Avenida de la Gran Via 43, Sóller, 07100, 西班牙"
"Brel,San Vicente 91, El Campello, 03560, 西班牙"
"Pau,Avenida Marqués de Benicarló 11, Benicarló, 12580, 西班牙"
"Miceli,Àngels 11, Selva, 07313, 西班牙"
"Vivanda,Major de Sarrià 134, Barcelona, 08017, 西班牙"
"Kimtxu,Henao 17, Bilbao, 48009, 西班牙"
"Mesón Sabor Andaluz,La Huerta 3, Alcalá del Valle, 11693, 西班牙"
"Le Bistrot Gastronómico,Temprado 12, Castelló de la Plana, 12002, 西班牙"
"El Equilibrista 33,Ingeniero Salinas 23, Las Palmas de Gran Canaria, 35006, 西班牙"
"Del Oso,Barrio Areños 2, Cosgaya, 39582, 西班牙"
"Natxo Sellés,Juan María Carbonell 3, Cocentaina, 03820, 西班牙"
"Juan Veintitrés,Papa Juan XXIII 8, Benifaió, 46450, 西班牙"
"12 Tapas,Párroco Antonio Pastor Portillo 2, Castilleja de la Cuesta, 41950, 西班牙"
"Frank, San Francisco 42-44, Ferrol, 15401, 西班牙"
"Rubén Miralles,Travessia de Sant Vicent 9, Vinaròs, 12500, 西班牙"
"La Sartén,Sector de los Pueblos 2, Tres Cantos, 28760, 西班牙"
"Mesón Octavio,Severo Ochoa 6, Ciudad Real, 13005, 西班牙"
"Pacífico,Pena Trevinca 37, Ourense, 32005, 西班牙"
"Arotxa,Santa Catalina 34, Legasa, 31792, 西班牙"
"El Envero,Teruel 21, Córdoba, 14011, 西班牙"
"Cruix,Entença 57, Barcelona, 08015, 西班牙"
"Las Tortillas de Gabino,Rafael Calvo 20, Madrid, 28010, 西班牙"
"Becook,Cantareros 2, León, 24003, 西班牙"
"Bichopalo,Cristóbal Bordiú 39, Madrid, 28003, 西班牙"
"Roc´n´Cris,Carretera de Francia 9, Aubèrt, 25537, 西班牙"
"Silbo Gomero,Volcán Elena 9, San Cristóbal de la Laguna, 38108, 西班牙"
"Pampín Bar,Ruela das Fontiñas 4, Santiago de Compostela, 15703, 西班牙"
"El Buey,La Reina 94, Almoradí, 03160, 西班牙"
"Casa el Tio David,Bancal del Clot 2, Alfafara, 03838, 西班牙"
"Los Sentidos,Doctor 13, Linares, 23700, 西班牙"
"Las Termas,Santiago 1, Astorga, 24700, 西班牙"
"Garbí,Barcelona 52, Castellar del Vallès, 08211, 西班牙"
"Las Musas,Barbero 3, Campo de Criptana, 13610, 西班牙"
"Venta de Ulzama,Carretera NA 1210, Belate (Puerto de), 31797, 西班牙"
"Asador La Chumbera,Paraje Los Ventorrillos, Agua Amarga, 04149, 西班牙"
"La Bola de Jorge Bosch,Lomo 18, Tegueste, 38280, 西班牙"
"Los Fueros,De los Fueros 6, Bilbao, 48005, 西班牙"
"La Mundana,Vallespir 93, Barcelona, 08014, 西班牙"
"El Chaleco,Avenida Costa del Sol 37, Almuñécar, 18690, 西班牙"
"Consolación,Avenida Consolación 2, Cartaya, 21450, 西班牙"
"Cami·Vell,Colón 51, Alzira, 46600, 西班牙"
"El Secreto de Chimiche,Carretera General del Sur 4, Chimiche, 38594, 西班牙"
"Mirko Carturan Cuiner,Avenida Pi i Margall 75, Caldes de Montbui, 08140, 西班牙"
"La Taberna de Cuatro Caminos,Antonio Machado 24, Almodóvar del Río, 14720, 西班牙"
"acebuche,Santa Marina 3, Zafra, 06300, 西班牙"
"El Risco,Montaña Clara 30, Famara, 35558, 西班牙"
"La Maruca, Paseo de la Castellana 212, Madrid, 28001, 西班牙"
"La Rebotica,San José 3, Cariñena, 50400, 西班牙"
"Casa Chesmy,Camino Hondo, Tariego de Cerrato, 34209, 西班牙"
"Napicol,San Isidro 28, Meliana, 46133, 西班牙"
"Carmen,Avenida de Nuestra Señora del Pilar 3, Binéfar, 22500, 西班牙"
"La Cartería,Camino Real 49, Cartes, 39311, 西班牙"
"Donamaria'ko Benta,Barrio de la Venta 4, Donamaria, 31750, 西班牙"
"Casa Chongastán,Carretera s/n, Chía, 22465, 西班牙"
"La Xarxa,de Sant Pere 38, Tarragona, 43004, 西班牙"
"La MaMá,Avenida del Brasil 6, Madrid, 28020, 西班牙"
"Alberca,Victoria 8, Trujillo, 10200, 西班牙"
"Noi,Recoletos 6, Madrid, 28001, 西班牙"
"La Cosmo,Císter 11, Málaga, 29015, 西班牙"
"Bis Bistró,Vicente López 1661 Local 12, Buenos Aires, C1018ABA, 阿根廷"
"Coscolo,La Magdalena 1, Castrillo de los Polvazares, 24718, 西班牙"
"Anafe,Virrey Avilés 3216, Buenos Aires, C1426EEH, 阿根廷"
"Mengano,Jose Antonio Cabrera 5172, Buenos Aires, C1414BGT, 阿根廷"
"La Alacena Trattoria,Gascón 1401, Buenos Aires, C1181ADA, 阿根廷"
"Shōyu,Ausekļa iela 20, Riga, 1010, 拉脫維亞"
"Milda,Kungu Iela 8, Riga, 1050, 拉脫維亞"
"Reliquia,Angel Justiniano Carranza 1601, Buenos Aires, C1414COQ, 阿根廷"
"Caseros,Avenida Caseros 486, Buenos Aires, C1152AAN, 阿根廷"
"República del Fuego,Juncal 2682, Buenos Aires, C1425AYF, 阿根廷"
"Snatch,Elizabetes iela 39, Riga, 1010, 拉脫維亞"
"Nam Heong Chicken Rice (City Centre),56 Jalan Sultan, Kuala Lumpur City Centre, Kuala Lumpur, 50000, 馬來西亞"
"My Own Café,2 Lebuh Cannon, George Town, 10200, 馬來西亞"
"Taman Bukit Curry Mee,Jalan Bukit Kecil, Taman Bukit, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"
"Ghee Lian,Lot No. 39, MBPP Kompleks Makanan Medan Renong Padang Kota Lama, 4 Jalan Tun Syed Sheh Barakhbah, George Town, 10200, 馬來西亞"
"Tho Yuen,92 Lebuh Campbell, George Town, 10100, 馬來西亞"
"Heun Kee Claypot Chicken Rice (Pudu),59 Jalan Yew, Pudu, Kuala Lumpur, 55100, 馬來西亞"
"Nasi Ayam Hainan Chee Meng (Jalan Kelang Lama), Sub Lot-A1, Batu 4 1/4, Jalan Kelang Lama, Kuala Lumpur, 58200, 馬來西亞"
"Anak Baba,159 Jalan Sultan Abdul Samad, Brickfields, Kuala Lumpur, 50470, 馬來西亞"
"Sardaarji,6 Lebuh China, George Town, 10200, 馬來西亞"
"Neighbourwood,3427 Jalan Kulim, Taman Bukit Mas, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"
"Penang Road Famous Laksa,5 Lebuh Keng Kwee, George Town, 10100, 馬來西亞"
"De. Wan 1958, Level 2-2, The LINC KL, 360 Jalan Tun Razak, Taman U Thant, Kuala Lumpur, 50400, 馬來西亞"
"Wong Mei Kee,30 Jalan Nyonya, Off Jalan Pudu, Pudu, Kuala Lumpur, 55100, 馬來西亞"
"Dancing Fish,Lot T120 & 121, 3F, Bangsar Shopping Centre, 285 Jalan Maarof, Bangsar, Kuala Lumpur, 59000, 馬來西亞"
"Sri Nirwana Maju,43 Jalan Telawi 3, Bangsar Baru, Kuala Lumpur, 59100, 馬來西亞"
"Bibik's Kitchen,73 Jalan Sri Bahari, George Town, 10050, 馬來西亞"
"Ah Boy Koay Teow Th'ng,1 Lebuh Clarke, George Town, 10050, 馬來西亞"
"Teksen,18 & 20 Lebuh Carnarvon, George Town, 10100, 馬來西亞"
"Ah Hei Bak Kut Teh,33A Medan Imbi, Pudu, Kuala Lumpur, 55100, 馬來西亞"
"Thara,5 Lorong Prangin, George Town, 10100, 馬來西亞"
"Sao Nam,25 Tengkat Tong Shin, Bukit Bintang, Kuala Lumpur, 50200, 馬來西亞"
"Hai Kah Lang (Taman Cheras),44 Jalan Kaskas 2, Taman Cheras, Kuala Lumpur, 56100, 馬來西亞"
"Ming Qing Charcoal Duck Egg Char Koay Teow,29 Jalan Betek, off Jalan Sungai Rambai, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"
"Wan Dao Tou Assam Laksa,1 Jalan Gottlieb, George Town, 10350, 馬來西亞"
"Hing Kee Bakuteh (Jalan Kepong),121 Jalan Kepong, Taman Usahawan, Kuala Lumpur, 52100, 馬來西亞"
"Siam Road Char Koay Teow,82 Jalan Siam, George Town, 10400, 馬來西亞"
"Green House Prawn Mee & Loh Mee,223 Jalan Burma, George Town, 10050, 馬來西亞"
"Bridge Street Prawn Noodle,533 Lebuh Pantai, George Town, 10300, 馬來西亞"
"Roti by d'Tandoor,82 Jalan Damai, Off Jalan Ampang, Kampung Datuk Keramat, Kuala Lumpur, 55000, 馬來西亞"
"Sister Yao’s Char Koay Kak,96 Lorong Macalister, George Town, 11400, 馬來西亞"
"Communal Table by Gēn,68 Lebuh Presgrave, George Town, 10300, 馬來西亞"
"Congkak (Bukit Bintang),24 Jalan Beremi, Bukit Bintang, Kuala Lumpur, 50200, 馬來西亞"
"Moh Teng Pheow Nyonya Koay,Jalan Masjid, Off Lebuh Chulia, George Town, 10200, 馬來西亞"
"Ivy's Nyonya Cuisine, 100-104 Jalan Kedah, George Town, 10050, 馬來西亞"
"Jalan Ipoh Claypot Chicken Rice,Lot 1224, 7 Jalan Batu Ambar, Taman Kok Lian, Kuala Lumpur, 51200, 馬來西亞"
"Restoran Pik Wah,Basement Level, MABA House, 6 Jalan Hang Jebat, Kuala Lumpur City Centre, Kuala Lumpur, 50150, 馬來西亞"
"Aliyaa,48 Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur, 50490, 馬來西亞"
"Sek Yuen,313 Jalan Pudu, Pudu, Kuala Lumpur, 55100, 馬來西亞"
"Rasa Rasa,59 Gat Lebuh Chulia, George Town, 10300, 馬來西亞"
"Hot Bowl White Curry Mee,58C Jalan Rangoon, George Town, 10400, 馬來西亞"
"Hor Poh Cuisine,36 Jalan 6/38D, Taman Sri Sinar, Segambut, Kuala Lumpur, 52100, 馬來西亞"
"BM Cathay Pancake,8 Jalan Aston, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"
"Lai Foong Lala Noodles,99 Jalan Sultan, Kuala Lumpur City Centre, Kuala Lumpur, 50000, 馬來西亞"
"Duck Blood Curry Mee,223B Jalan Burma, George Town, 10050, 馬來西亞"
"Yu Ge Zhanjiang (Jingan),358 West Yan'an Road, Jingan, Shanghai, 中國"
"Penang Road Famous Jin Kor Char Kuey Teow,Joo Hooi Cafe, 475 Jalan Penang, George Town, 10000, 馬來西亞"
"Ho Hung Kee,L324, South Building, HKRI Taikoo Hui, 288 Shimen Yi Road, Jingan, Shanghai, 中國"
"Yu Du Lao Wei Mian (Huangpu),501 Liyuan Road, Huangpu, Shanghai, 中國"
"Easeful Cuisine (Jingan),2F, 90 South Shaanxi Road, Jingan, Shanghai, 中國"
"Nanxiang Steamed Bun (City God Temple),85 Yuyuan Road, City God Temple, Huangpu, Shanghai, 中國"
"Polux,No. 5, Xintiandi Beili, Lane 181, Taicang Road, Huangpu, Shanghai, 中國"
"Jing Mei Wu Xi Si Fang Mian Guan,128 Yanping Road, Jingan, Shanghai, 200040, 中國"
"YongFu Mini (Pudong),Shop 910, 9F, L+Mall, 899 South Pudong Road, Pudong, Shanghai, 中國"
"Chun,124 Jinxian Road, Huangpu, Shanghai, 中國"
"Tasty Congee & Noodle Wantun Shop, S-B1-05, Stone Zone, Taikoo Li Qiantan, Lane 500, Dongyu Road, Pudong, Shanghai, 中國"
"Yangzhou Fan Dian (Huangpu),345 Middle Fujian Road, Huangpu, Shanghai, 中國"
"A Niang Mian Guan,36 Sinan Road, Huangpu, Shanghai, 中國"
"Rong Cuisine, 1-2F, 128 Taicang Road, Huangpu, Shanghai, 中國"
"Qiao Ai Lai Lai Xiao Long (Huangpu),506 Tianjin Road, Huangpu, Shanghai, 中國"
"Xiao Tao Mian Guan,222 Jiashan Road, Xuhui, Shanghai, 中國"
"Chic 1699,L807, 8F, Times Square, 500 Zhangyang Road, Pudong, Shanghai, 中國"
"The Lakeside Veggie, L2-016-017, Sunny Walk, 230 Ruiping Road, Xuhui, Shanghai, 中國"
"Yunhe Noodle (Huangpu),344 Changle Road, Huangpu, Shanghai, 中國"
"Hao Sheng,156 Guangyuan Road, Xuhui, Shanghai, 中國"
"Lu Bo Lang,115 Yuyuan Old Street, City God Temple, Huangpu, Shanghai, 中國"
"Da Hu Chun (Middle Sichuan Road),136 Middle Sichuan Road, Huangpu, Shanghai, 中國"
"Mi Thai,2F, 195 Anfu Road, Xuhui, Shanghai, 中國"
"Mao Long,134 Jinxian Road, Huangpu, Shanghai, 中國"
"Gong De Lin (Huangpu),445 West Nanjing Road, Huangpu, Shanghai, 中國"
"La Cerreta Osteria,via della Cerreta 7, Sassetta, 57020, 義大利"
"Estrò,piazza della Rinascita 23, Pescara, 65122, 義大利"
"Lan Xin (Jinxian Road),130 Jinxian Road, Huangpu, Shanghai, 中國"
"Rongjia Noodles Soup with Yellow Croaker (Jingan), L105A-1, 688 Plaza, 688 West Nanjing Road, Jingan, Shanghai, 中國"
"Ostaria Tyrol,piaz de Ramon 8, Moena, 38035, 義大利"
"Dalla Rosa Alda,strada Garibaldi 4, San Giorgio di Valpolicella, 37015, 義大利"
"Osteria Borsò Gambrinus,via Capitello 18, San Polo di Piave, 31020, 義大利"
"Fracia,località Fracia, Teglio, 23036, 義大利"
"L'Acino,via San Domenico 2/a, Torino, 10121, 義大利"
"Salotto sul Mare,via dei Mille 2/b, Terrasini, 90049, 義大利"
"Trattoria Ceriati,Località Cangelasio Ceriati 18, Salsomaggiore Terme, 43039, 義大利"
"Osteria Ophis,corso Serpente Aureo 54/b, Offida, 63073, 義大利"
"ChiaroScuro,corso Vittorio Emanuele II 380, Cagliari, 09123, 義大利"
"Al Bersagliere,via Dietro Pallone 1, Verona, 37121, 義大利"
"Tre Noghere,via Crede 1, Bigolino, 31049, 義大利"
"Oberraindlhof,Raindl 49, Madonna di Senales, 39020, 義大利"
"Antica Locanda al Cervo, via Schrann 9/c, San Genesio Atesino, 39050, 義大利"
"Le Antiche Sere,via P. Micca 22, Lesina, 71010, 義大利"
"Buscone,Località Bosmenso Superiore 41, Varzi, 27057, 義大利"
"Antica Trattoria Gianna,via Maggiore 12, Recorfano, 26030, 義大利"
"Antica Trattoria La Toppa,via del Giglio 43, San Donato in Poggio, 50028, 義大利"
"Clemente,piazza Santa Monica, Sulmona, 67039, 義大利"
"Sa Mandra,SP 44, km 1, Alghero, 07041, 義大利"
"Osteria Platzegg,piazza Municipio 1, San Michele, 39057, 義大利"
"Mezzolitro Vini e Cucina,via Pomè 10, Rho, 20017, 義大利"
"Dalla Libera,via Farra 52, Sernaglia della Battaglia, 31020, 義大利"
"Rosselli 77,via F.lli Rosselli 77, Cuorgnè, 10082, 義大利"
"Locanda delle Grazie,via San Pio X 2, Grazie, 46010, 義大利"
"Domenico dal 1968,via Satrico 23, Roma, 00183, 義大利"
"QuarantunoDodici,via Monte Cadria 127, Fiumicino, 00054, 義大利"
"Krone,piazza Principale 4, Aldino, 39040, 義大利"
"Zeb,via San Miniato 2r, Firenze, 50125, 義大利"
"La Villa,Contrada Cavallerizza, SS 303 verso Rocchetta Sant'Antonio, Melfi, 85025, 義大利"
"La Cuccagna, corso Umberto I 168, Crispiano, 74012, 義大利"
"Da Marchesi,Località Ca' Gianessi 7, Novafeltria, 47863, 義大利"
"Locanda del Capitano & Tipico Osteria,via Roma 7, Montone, 06014, 義大利"
"Trattoria alla Ruota,via Proale 6, località Mazzano, Negrar, 37024, 義大利"
"Da Burde,via Pistoiese 154, Firenze, 50145, 義大利"
"Da Giannino, via Rosolino Pilo 20, Milano, 20129, 義大利"
"Terme,via Madonna Assunta, Pigna, 18037, 義大利"
"Il Sogno,via Vetrego 8, Vetrego, 30035, 義大利"
"Antica Osteria,via Venezia 11, Ossana, 38026, 義大利"
"Osteria Piazzetta Cattedrale,largo Arcidiacono Trinchera 7, Ostuni, 72017, 義大利"
"Al Vecchio Faggio,via Garibaldi 8, località Borgnana, Cuasso al Monte, 21050, 義大利"
"Veneziano,Contrada Arena, SS 120 km 187, Randazzo, 95036, 義大利"
"Stella,via dei Narcisi 47/a, Casaglia, 06126, 義大利"
"La Brinca,via Campo di Ne 58, Ne, 16040, 義大利"
"Trattoria da Paeto,via Patriarcato 78, Pianiga, 30030, 義大利"
"La Campanara,via Borgo Pianetto 24/a, Galeata, 47010, 義大利"
"Borgo Spoltino,strada Selva Alta, Mosciano Sant'Angelo, 64023, 義大利"
"Vascello d'Oro,via San Giuseppe 9, Carrù, 12061, 義大利"
"Podere San Faustino,via San Faustino 33 (SS Emilia Nord), Fidenza, 43036, 義大利"
"Josto,via Sassari 25, Cagliari, 09124, 義大利"
"Osteria La Solita Zuppa,via Porsenna 21, Chiusi, 53043, 義大利"
"Trattoria Lanzagallo,via Ravenna 1048, Gaibana, 44124, 義大利"
"U.P.E.P.I.D.D.E.,vico Sant'Agnese 2, angolo corso Cavour, Ruvo di Puglia, 70037, 義大利"
"Contesto Alimentare,via Accademia Albertina 21/e, Torino, 10123, 義大利"
"Osteria La Torre,via dell'Ospedale 22, Cherasco, 12062, 義大利"
"13 Comuni,piazza della Vittoria 31, Velo Veronese, 37030, 義大利"
"Osteria Zanchetti,via Cesare Battisti 1, Fossombrone, 61034, 義大利"
"Luna Rossa,via Marconi 18, Terranova di Pollino, 85030, 義大利"
"Impero,via Roma 13, Sizzano, 28070, 義大利"
"Nuova Roma,via Olivetta 87, Sasso Marconi, 40037, 義大利"
"Osteria della Chiocciola,via Fossano 1, Cuneo, 12100, 義大利"
"Roma,via Roma 15, Montoggio, 16026, 義大利"
"Lerchner's In Runggen,frazione Ronchi 3/a, San Lorenzo di Sebato, 39030, 義大利"
"Il Sottomarino,via Fratti 1, Follonica, 58022, 義大利"
"La Locanda del Colonnello,via Blandini 9, Modica, 97015, 義大利"
"Dell'Alba,via del Popolo 31, Piadena, 26034, 義大利"
"Serendib,via Pontida 2, Milano, 20121, 義大利"
"Da Giocondo,via Suffragio 2, Rivisondoli, 67036, 義大利"
"Locanda Pincelli,via Selva 52, Selva Malvezzi, 40062, 義大利"
"Rosmarino,salita del Fondaco 30, Genova, 16123, 義大利"
"La Baita,via Naviglio 25/c, Faenza, 48018, 義大利"
"Trattoria Pomposa, via Castel Maraldo 57, Modena, 41121, 義大利"
"Cile's,viale Cesare Battisti 35, Fano, 61032, 義大利"
"Boivin,via Garibaldi 9, Levico Terme, 38056, 義大利"
"Apollonia,via Sant'Apollonia 3, località Sirmiano Sopra, Nalles, 39010, 義大利"
"La Locanda Gesù Vecchio,via Giovanni Paladino 26, Napoli, 80121, 義大利"
"L'Ortone,piazza Lorenzo Ghiberti 87 r, Firenze, 50122, 義大利"
"Romanè,via Cipro 106, Roma, 00136, 義大利"
"Osteria del Miglio 2.10,via Patrioti 2, Pieve San Giacomo, 26035, 義大利"
"Su Gologone,Località Su Gologone, Oliena, 08025, 義大利"
"L'Osteria della Trippa,via Goffredo Mameli 15, Roma, 00153, 義大利"
"Buca 18,via Gaggio 2, San Clemente, 47832, 義大利"
"53 Untitled,via del Monte della Farina 53, Roma, 00186, 義大利"
"Al Palazzon,via Ca' Onorai 2, loc. Mottinello Nuovo, Galliera Veneta, 35015, 義大利"
"Spoon,via Mario Capuani 61, Teramo, 64100, 義大利"
"Edelweiss,Località Crodo, Viceno, 28862, 義大利"
"Nerina,via De Gasperi 31, località Malgolo, Romeno, 38010, 義大利"
"Caffè Grande,piazza Paolo 9, Rivergaro, 29029, 義大利"
"Buatta Cucina Popolana,via Vittorio Emanuele 176, Palermo, 90133, 義大利"
"Antica Trattoria Cattivelli,via Chiesa di Isola Serafini 2, Monticelli d'Ongina, 29010, 義大利"
"Burro & Alici,lungomare Colombo 98, Marotta, 61032, 義大利"
"Osteria Madonnetta,via Vajenti 21, Marostica, 36063, 義大利"
"Il Ciabot,via Costa 7, Roletto, 10060, 義大利"
"Al Piave, via Cormons 6 - Fraz. Corona, Mariano del Friuli, 34071, 義大利"
"Vecchia Lama,via XXIV Maggio 24, Lama Mocogno, 41023, 義大利"
"Taverna dei Caldora,piazza Umberto I 13, Pacentro, 67030, 義大利"
"Andrea, via Gabriele Judica 4, Palazzolo Acreide, 96010, 義大利"
"Osteria Storica Morelli,piazza Petrini 1, località Canezza di Pergine, Pergine Valsugana, 38057, 義大利"
"La Dispensa di Armatore,via Cantone 1, Cetara, 84010, 義大利"
"Taverna del Grappolo Blu,scale di via Moglio 1, Montalcino, 53024, 義大利"
"Osteria la Fefa, via Trento-Trieste 9/c, Finale Emilia, 41034, 義大利"
"Osteria del Gallo e della Volpe,piazza Umberto I 14, Ospedaletto d'Alpinolo, 83014, 義大利"
"Osteria dal Moro,lungomare Spalato 74, Giulianova Lido, 64021, 義大利"
"L'Oste Dispensa,strada provinciale Giannella 113, Orbetello, 58015, 義大利"
"Italia,piazza della Libertà 27, Quarona, 13017, 義大利"
"Dalie e Fagioli,via Campagnola 45, Manerba del Garda, 25080, 義大利"
"Ahimè,via San Gervasio 6/e, Bologna, 40121, 義大利"
"Trattoria Ai Due Platani,via Budellungo 104/a, Coloreto, 43123, 義大利"
"Il Casolare dei Segreti,Contrada San Lorenzo 28, Treia, 62010, 義大利"
"Osteria dei Segreti,via Verdefiore 25, Appignano, 62010, 義大利"
"La Pineta,piazzale Sant'Anna 6, Sant'Anna, 12020, 義大利"
"Dei Cantoni,via Santa Maria 19, Longiano, 47020, 義大利"
"La Bucaccia,via Ghibellina 17, Cortona, 52044, 義大利"
"Moi,via Antonio Serra 15, Roma, 00191, 義大利"
"Scannabue Caffè Restaurant,largo Saluzzo 25/h, Torino, 10125, 義大利"
"Lo Stuzzichino,via Deserto 1/a, Sant'Agata sui Due Golfi, 80061, 義大利"
"Green T.,via del Piè di Marmo 28, Roma, 00186, 義大利"
"Palmerino, via Piave 13, Sandrigo, 36066, 義大利"
"Il Conte Matto,via Taverne 40, Trequanda, 53020, 義大利"
"La Cucoma,via Molinaccio 175, San Pancrazio, 48020, 義大利"
"La Fossa del Grano,via Minuziano 63, San Severo, 71016, 義大利"
"Villa Aurora,via Ciucani 1/7, Soiano del Lago, 25080, 義大利"
"Lokanda Devetak,via Brezici 22, Savogna d'Isonzo, 34070, 義大利"
"Antica Trattoria da Miculan,piazza Libertà 16, Tricesimo, 33019, 義大利"
"Antica Trattoria la Grotta dal 1918,via Tignano 3, Loc. Mongardino Grotta, Sasso Marconi, 40037, 義大利"
"Del Belbo, valle Asinari 25, San Marzano Oliveto, 14050, 義大利"
"Osteria de Börg,via Forzieri 12, Rimini, 47921, 義大利"
"Locanda da Condo,via Fontana 134, Col San Martino, 31010, 義大利"
"Romani,via dei Ronchi 2, Vicomero di Torrile, 43056, 義大利"
"Alla Pace,via Sauris di Sotto 38, Sauris, 33020, 義大利"
"Le Miniere,piazza Martiri 1944 4, Traversella, 10080, 義大利"
"La Chioccia d'Oro,via Novi 2, loc. Pietra dei Correnti, bivio Novi Velia, Vallo della Lucania, 84078, 義大利"
"Foresta,strada de la Comunità de Fiem 42, Moena, 38035, 義大利"
"Trattoria da Fagiolino,via Carega 1, Cutigliano, 51024, 義大利"
"Trattoria da Marino,via Provinciale Lucchese 102, loc. Ponte di Serravalle, Serravalle Pistoiese, 51030, 義大利"
"La Cucina dei Frigoriferi Milanesi,via Piranesi 10, Milano, 20137, 義大利"
"Cantina dei Cacciatori,località Villa Superiore 59, Monteu Roero, 12040, 義大利"
"Raieü,via Milite Ignoto 23, Cavi di Lavagna, 16033, 義大利"
"Osteria Le Panzanelle,località Lucarelli 29, Lucarelli, 53017, 義大利"
"La Torre,piazza Annunziata 7, Santa Maria Annunziata, 80061, 義大利"
"Taverna 58,corso Manthoné 46, Pescara, 65127, 義大利"
"Vecchio Porto,lungomare Cenide 55, Villa San Giovanni, 89018, 義大利"
"Trippa,via Giorgio Vasari 1, Milano, 20135, 義大利"
"Aurora,via Garibaldi 68, Feltre, 32032, 義大利"
"Da Flavio e Fabrizio Al Teatro,via della Vittoria 75, Mirano, 30035, 義大利"
"Mingone,via Pietro Nenni 96, Carnello, 03033, 義大利"
"Vecchia Marina,lungomare Trento 37, Roseto degli Abruzzi, 64026, 義大利"
"Dongiò,via Corio 3, Milano, 20135, 義大利"
"Battaglino,piazza Roma 18, Bra, 12042, 義大利"
"Casa Gallo,via Lepanto 100, Pompei, 80045, 義大利"
"Boccondivino,via Mendicità Istruita 14, Bra, 12042, 義大利"
"Osteria della Villetta,via Marconi 104, Palazzolo sull'Oglio, 25036, 義大利"
